congress,chamber,rollnumber,date,session,clerk_rollnumber,yea_count,nay_count,nominate_mid_1,nominate_mid_2,nominate_spread_1,nominate_spread_2,nominate_log_likelihood,bill_number,vote_result,vote_desc,vote_question,dtl_desc
112,Senate,11,2011-02-03,1,11,55,42,0.186,0.98,0.334,-0.074,-10.418,S223,Motion to Table Agreed to,To limit the application of the Davis-Bacon Act in the case of projects funded under this Act.,On the Motion to Table,
112,Senate,12,2011-02-07,1,12,95,0,0.0,0.0,0.0,0.0,0.0,PN36,Nomination Confirmed,"Diana Saldana, of Texas, to be United States District Judge for the Southern District of Texas",On the Nomination,
112,Senate,13,2011-02-07,1,13,96,0,0.0,0.0,0.0,0.0,0.0,PN24,Nomination Confirmed,"Paul Kinloch Holmes III, of Arkansas, to be United States District Judge for the Western District of Arkansas",On the Nomination,
112,Senate,14,2011-02-08,1,14,96,1,0.0,0.0,0.0,0.0,0.0,S223,Amendment Agreed to,To strike section 605.,On the Amendment,
112,Senate,15,2011-02-14,1,15,94,0,0.0,0.0,0.0,0.0,0.0,PN21,Nomination Confirmed,"Edward J. Davila, of California, to be United States District Judge for the Northern District of California",On the Nomination,
112,Senate,16,2011-02-15,1,16,98,0,0.0,0.0,0.0,0.0,0.0,S223,Amendment Agreed to,To impose a criminal penalty for unauthorized recording or distribution of images produced using advanced imaging technology during screenings of individuals at airports and upon entry to Federal buildings.,On the Amendment,
112,Senate,17,2011-02-15,1,17,47,51,0.007,-0.168,-0.647,0.779,-0.256,S223,Amendment Rejected,To exclude employees of the Transportation Security Administration from the collective bargaining rights of Federal employees and provide employment rights and an employee engagement mechanism for passenger and property screeners.,On the Amendment,
112,Senate,18,2011-02-15,1,18,51,47,0.021,-0.105,0.655,-0.784,-0.256,S223,Motion to Table Agreed to,To reduce the total amount authorized to be appropriated for the Federal Aviation Administration for fiscal year 2011 to the total amount authorized to be appropriated for the Administration for fiscal year 2008.,On the Motion to Table,
112,Senate,19,2011-02-15,1,19,87,12,-0.33,-0.863,-0.747,-3.577,-29.874,HR514,Bill Passed,"A bill to extend expiring provisions of the USA PATRIOT Improvement and Reauthorization Act of 2005 and Intelligence Reform and Terrorism Prevention Act of 2004 relating to access to business records, individual terrorists as agents of foreign powers, and roving wiretaps until December 8, 2011.",On Passage of the Bill,
112,Senate,20,2011-02-17,1,20,96,2,0.0,0.0,0.0,0.0,0.0,S223,Cloture Motion Agreed to,"A bill to modernize the air traffic control system, improve the safety, reliability, and availability of transportation by air in the United States, provide modernization of the air traffic control system, reauthorize the Federal Aviation Administration, and for other purposes.",On the Cloture Motion,
112,Senate,21,2011-02-17,1,21,61,38,0.55,0.835,0.202,-0.353,-38.729,S223,Motion to Table Agreed to,To repeal the essential air service program.,On the Motion to Table,
112,Senate,22,2011-02-17,1,22,52,47,0.014,-0.138,0.657,-0.78,-0.254,S223,Motion to Table Agreed to,To strike the provisions relating to clarifying a memorandum of understanding between the Federal Aviation Administration and the Occupational Safety and Health Administration.,On the Motion to Table,
112,Senate,23,2011-02-17,1,23,34,65,0.024,1.0,0.151,-0.176,-40.45,S223,Motion to Table Failed,To limit essential air service to locations that are 100 or more miles away from the nearest medium or large hub airport.,On the Motion to Table,
112,Senate,24,2011-02-17,1,24,59,40,0.167,-0.16,0.19,-0.269,-23.971,S223,Motion to Table Agreed to,To decrease the Federal share of project costs under the airport improvement program for non-primary airports.,On the Motion to Table,
112,Senate,25,2011-02-17,1,25,87,8,0.574,0.447,1.126,0.968,-10.984,S223,Bill Passed,"A bill to modernize the air traffic control system, improve the safety, reliability, and availability of transportation by air in the United States, provide modernization of the air traffic control system, reauthorize the Federal Aviation Administration, and for other purposes.",On Passage of the Bill,
112,Senate,26,2011-02-28,1,26,91,0,0.0,0.0,0.0,0.0,0.0,PN28,Nomination Confirmed,"Steve C. Jones, of Georgia, to be United States District Judge for the Northern District of Georgia",On the Nomination,
112,Senate,27,2011-03-01,1,27,97,2,0.0,0.0,0.0,0.0,0.0,S23,Amendment Agreed to,To improve the bill.,On the Amendment,
112,Senate,28,2011-03-01,1,28,52,47,0.002,-0.191,0.656,-0.783,-0.257,S23,Motion to Table Agreed to,To require that the Government prioritize all obligations on the debt held by the public in the event that the debt limit is reached.,On the Motion to Table,
112,Senate,29,2011-03-02,1,29,91,9,0.827,0.223,0.167,-0.029,-24.509,HJRES44,Joint Resolution Passed,"A joint resolution making further continuing appropriations for fiscal year 2011, and for other purposes.",On the Joint Resolution,
112,Senate,30,2011-03-02,1,30,58,40,-0.198,-0.205,-1.168,0.393,-20.705,S23,Amendment Rejected,To express the sense of the Senate in support of a balanced budget amendment to the Constitution.,On the Amendment,
112,Senate,31,2011-03-03,1,31,87,14,-0.215,0.919,-0.078,0.253,-38.545,S23,Motion to Table Agreed to,To strike the first inventor to file requirement.,On the Motion to Table,
112,Senate,32,2011-03-07,1,32,90,0,0.0,0.0,0.0,0.0,0.0,PN37,Nomination Confirmed,"James E. Shadid, of Illinois, to be United States District Judge for the Central District of Illinois",On the Nomination,
112,Senate,33,2011-03-07,1,33,90,0,0.0,0.0,0.0,0.0,0.0,PN10,Nomination Confirmed,"Anthony J. Battaglia, of California, to be United States District Judge for the Southern District of California",On the Nomination,
112,Senate,34,2011-03-07,1,34,87,3,0.577,0.816,0.125,0.472,-10.212,S23,Cloture Motion Agreed to,"A bill to amend title 35, United States Code, to provide for patent reform.",On the Cloture Motion,
