congress,chamber,rollnumber,date,session,clerk_rollnumber,yea_count,nay_count,nominate_mid_1,nominate_mid_2,nominate_spread_1,nominate_spread_2,nominate_log_likelihood,bill_number,vote_result,vote_desc,vote_question,dtl_desc
116,Senate,79,2019-04-30,1,79,68,31,-0.248,0.041,-0.691,0.382,-13.852,PN75,Nomination Confirmed,"William Cooper, of Maryland, to be General Counsel of the Department of Energy",On the Nomination,
116,Senate,80,2019-04-30,1,80,91,8,-0.578,0.816,-1.209,-0.472,-13.836,PN116,Cloture Motion Agreed to,"R. Clarke Cooper, of Florida, to be an Assistant Secretary of State (Political-Military Affairs)",On the Cloture Motion,
116,Senate,81,2019-04-30,1,81,90,8,-0.578,0.816,-1.205,-0.473,-13.828,PN116,Nomination Confirmed,"R. Clarke Cooper, of Florida, to be an Assistant Secretary of State (Political-Military Affairs)",On the Nomination,
116,Senate,82,2019-04-30,1,82,72,27,-0.238,-0.971,-0.308,-0.112,-22.947,PN150,Cloture Motion Agreed to,"Gordon Hartogensis, of Connecticut, to be Director of the Pension Benefit Guaranty Corporation for a term of five years",On the Cloture Motion,
116,Senate,83,2019-04-30,1,83,72,27,-0.24,-0.971,-0.311,-0.109,-22.946,PN150,Nomination Confirmed,"Gordon Hartogensis, of Connecticut, to be Director of the Pension Benefit Guaranty Corporation for a term of five years",On the Nomination,
116,Senate,84,2019-04-30,1,84,52,46,0.045,-0.112,-0.669,0.617,-0.176,PN217,Cloture Motion Agreed to,"J. Campbell Barker, of Texas, to be United States District Judge for the Eastern District of Texas",On the Cloture Motion,
116,Senate,85,2019-05-01,1,85,51,47,0.043,-0.102,-0.672,0.595,-0.181,PN217,Nomination Confirmed,"J. Campbell Barker, of Texas, to be United States District Judge for the Eastern District of Texas",On the Nomination,
116,Senate,86,2019-05-01,1,86,52,47,0.043,-0.102,-0.672,0.595,-0.181,PN223,Cloture Motion Agreed to,"Andrew Lynn Brasher, of Alabama, to be United States District Judge for the Middle District of Alabama",On the Cloture Motion,
116,Senate,87,2019-05-01,1,87,52,47,0.043,-0.102,-0.672,0.596,-0.181,PN223,Nomination Confirmed,"Andrew Lynn Brasher, of Alabama, to be United States District Judge for the Middle District of Alabama",On the Nomination,
116,Senate,88,2019-05-01,1,88,89,10,0.257,-0.966,-0.119,-0.905,-19.394,PN250,Cloture Motion Agreed to,"Rodolfo Armando Ruiz II, of Florida, to be United States District Judge for the Southern District of Florida",On the Cloture Motion,
116,Senate,89,2019-05-01,1,89,94,5,-0.37,-0.929,-0.28,-0.523,-8.485,PN212,Cloture Motion Agreed to,"Raul M. Arias-Marxuach, of Puerto Rico, to be United States District Judge for the District of Puerto Rico",On the Cloture Motion,
116,Senate,90,2019-05-01,1,90,64,35,-0.303,0.282,-0.464,-0.49,-14.173,PN257,Cloture Motion Agreed to,"Joshua Wolson, of Pennsylvania, to be United States District Judge for the Eastern District of Pennsylvania",On the Cloture Motion,
116,Senate,91,2019-05-02,1,91,90,8,-0.031,-1.0,-0.118,-0.563,-17.268,PN250,Nomination Confirmed,"Rodolfo Armando Ruiz II, of Florida, to be United States District Judge for the Southern District of Florida",On the Nomination,
116,Senate,92,2019-05-02,1,92,95,3,-0.681,-0.141,-1.034,-1.652,-5.447,PN212,Nomination Confirmed,"Raul M. Arias-Marxuach, of Puerto Rico, to be United States District Judge for the District of Puerto Rico",On the Nomination,
